Watford, 0-5, Manchester City, 2017, 5, http://www.bbc.com/sport/football/39912032
Arsenal, 4-3, Leicester City, 2017, 8, http://www.bbc.com/sport/football/40822513
Watford, 3-3, Liverpool, 2017, 8, http://www.bbc.com/sport/football/40835424
Chelsea, 2-3, Burnley, 2017, 8, http://www.bbc.com/sport/football/40835426
Crystal Palace, 0-3, Huddersfield Town, 2017, 8, http://www.bbc.com/sport/football/40835421
Everton, 1-0, Stoke City, 2017, 8, http://www.bbc.com/sport/football/40835425
Southampton, 0-0, Swansea City, 2017, 8, http://www.bbc.com/sport/football/40835420
West Bromwich Albion, 1-0, AFC Bournemouth, 2017, 8, http://www.bbc.com/sport/football/40835423
Brighton & Hove Albion, 0-2, Manchester City, 2017, 8, http://www.bbc.com/sport/football/40835422
Newcastle United, 0-2, Tottenham Hotspur, 2017, 8, http://www.bbc.com/sport/football/40841359
Manchester United, 4-0, West Ham United, 2017, 8, http://www.bbc.com/sport/football/40841358
Swansea City, 0-4, Manchester United, 2017, 8, http://www.bbc.com/sport/football/40908331
AFC Bournemouth, 0-2, Watford, 2017, 8, http://www.bbc.com/sport/football/40908335
Burnley, 0-1, West Bromwich Albion, 2017, 8, http://www.bbc.com/sport/football/40908334
Leicester City, 2-0, Brighton & Hove Albion, 2017, 8, http://www.bbc.com/sport/football/40908332
Liverpool, 1-0, Crystal Palace, 2017, 8, http://www.bbc.com/sport/football/40908329
Southampton, 3-2, West Ham United, 2017, 8, http://www.bbc.com/sport/football/40908330
Stoke City, 1-0, Arsenal, 2017, 8, http://www.bbc.com/sport/football/40908333
Huddersfield Town, 1-0, Newcastle United, 2017, 8, http://www.bbc.com/sport/football/40914669
Tottenham Hotspur, 1-2, Chelsea, 2017, 8, http://www.bbc.com/sport/football/40914668
Manchester City, 1-1, Everton, 2017, 8, http://www.bbc.com/sport/football/40920114
AFC Bournemouth, 1-2, Manchester City, 2017, 8, http://www.bbc.com/sport/football/40984015
Crystal Palace, 0-2, Swansea City, 2017, 8, http://www.bbc.com/sport/football/40984018
Huddersfield Town, 0-0, Southampton, 2017, 8, http://www.bbc.com/sport/football/40984014
Newcastle United, 3-0, West Ham United, 2017, 8, http://www.bbc.com/sport/football/40984016
Watford, 0-0, Brighton & Hove Albion, 2017, 8, http://www.bbc.com/sport/football/40984013
Manchester United, 2-0, Leicester City, 2017, 8, http://www.bbc.com/sport/football/40984017
Chelsea, 2-0, Everton, 2017, 8, http://www.bbc.com/sport/football/40990428
West Bromwich Albion, 1-1, Stoke City, 2017, 8, http://www.bbc.com/sport/football/40990429
Liverpool, 4-0, Arsenal, 2017, 8, http://www.bbc.com/sport/football/40990427
Tottenham Hotspur, 1-1, Burnley, 2017, 8, http://www.bbc.com/sport/football/40990430
Manchester City, 5-0, Liverpool, 2017, 9, http://www.bbc.com/sport/football/41133350
Arsenal, 3-0, AFC Bournemouth, 2017, 9, http://www.bbc.com/sport/football/41133353
Brighton & Hove Albion, 3-1, West Bromwich Albion, 2017, 9, http://www.bbc.com/sport/football/41133349
Everton, 0-3, Tottenham Hotspur, 2017, 9, http://www.bbc.com/sport/football/41133351
Leicester City, 1-2, Chelsea, 2017, 9, http://www.bbc.com/sport/football/41133348
Southampton, 0-2, Watford, 2017, 9, http://www.bbc.com/sport/football/41133347
Stoke City, 2-2, Manchester United, 2017, 9, http://www.bbc.com/sport/football/41133352
